Type,text,text_masked,label_str,Pred_Raw,Pred_Mask
Masking_HELPED,"Spit on that hole and fuck it, boys! 😛 The bitch wants to enjoy every single frat boy dick in that filthy pig sty they call a room. 🍆🍆🍆🍑 Source: @user #gay #sex #orgy #gangbang #groupsex #fucking #bareback {URL}","Spit on that hole and fuck it, boys! 😛 The [SLUR:GENDER_WOMEN] wants to enjoy every single frat boy dick in that filthy pig sty they call a room. 🍆🍆🍆🍑 Source: [MENTION] [HASHTAG:gay] [HASHTAG:sex] [HASHTAG:orgy] [HASHTAG:gangbang] [HASHTAG:groupsex] [HASHTAG:fucking] [HASHTAG:bareback] [URL]",hate_gender,hate_sexuality,hate_gender
Masking_HELPED,Shut her up and fuck her hard. {URL},Shut [TARGET:GENDER_WOMEN] up and fuck [TARGET:GENDER_WOMEN] hard. [URL],hate_gender,hate_origin,hate_gender
Masking_HELPED,Trump is like the fiery mullahs that incite ISIS & Islamic jihadists. Only difference is that he is fatter & whiter & inciting white supremacist terrorists. He is tearing the US apart and needs to go! #TrumpResignNow,Trump is like the fiery mullahs that incite ISIS & [SLUR:RELIGION_ISLAM] jihadists. Only difference is that he is fatter & [SLUR:RACE_WHITE] & inciting [SLUR:RACE_WHITE] supremacist terrorists. He is tearing the US apart and needs to go! [HASHTAG:TrumpResignNow],hate_origin,hate_religion,hate_origin
Masking_HELPED,"Watch ""Death to the Arabs"" {URL}","Watch ""Death to the [SLUR:ETH_ARAB]"" [URL]",hate_origin,hate_religion,hate_origin
Masking_HELPED,@user @RealCandaceO Why illegal aliens? You morons do a pretty good job of killing each other. #buildthatfuckingwall,[MENTION] [MENTION] Why [SLUR:NATIONAL_ORIGIN_IMMIGRANTS]? You morons do a pretty good job of killing each other. [HASHTAG:buildthatfuckingwall],hate_origin,hate_sexuality,hate_origin
Masking_HELPED,Fuck off you raggedy anti American skank {URL},"""""""[SLUR:GENDER_WOMEN] [URL]""""""",hate_gender,hate_origin,hate_gender
Masking_HELPED,Look at those majestic native breed cattles. Eslam brainwashed morons think killing them will earn merits from Olla. Why are Gaurakshaks criminals for lynching these filth on planet?,Look at those majestic native breed cattles. [SLUR:ETH_OTHER] brainwashed morons think killing them will earn merits from [SLUR:RELIGION_ISLAM]. Why are [SLUR:GENDER_OTHER] criminals for lynching these filth on planet?,hate_religion,hate_origin,hate_religion
Masking_HELPED,"Look, we get it. Your penises are so small they're basically useless. But you can do other things. Cunnilingus. Adult toys that dont murder everyone. Drop the gun and read a book Cletus.","Look, we get it. Your [SLUR:GENDER_MEN] are so small they're basically useless. But you can do other things. Cunnilingus. Adult toys that dont murder everyone. Drop the gun and read a book [MENTION].",hate_gender,hate_origin,hate_gender
Masking_HELPED,please be my homosexual remover — I will remove ALL the homos {URL},please be my [SLUR:SEXUAL_ORIENTATION_GAY] remover — I will remove ALL the [SLUR:SEXUAL_ORIENTATION_GAY] [URL],hate_sexuality,hate_gender,hate_sexuality
Masking_HELPED,"This is what low IQ looks like. Australia spends $8.5 billion on beef per year. Does that grow on trees? You fucking ape. Also, we slaughter kheer/firni on Eid ul Fitr not animals. {URL}","This is what low IQ looks like. Australia spends $8.5 billion on beef per year. Does that grow on trees? You [SLUR:RACE_OTHER]. Also, we slaughter kheer/firni on Eid ul Fitr not animals. [URL]",hate_origin,hate_gender,hate_origin
Masking_HELPED,Stupid fucking Evangelicals. {URL},Stupid [SLUR:RELIGION_CHRIST]s. [URL],hate_religion,hate_gender,hate_religion
Masking_HELPED,"Saudi can suck a dick tbh, fucking bastards","[SLUR:ETH_ARAB] can suck a dick tbh, [SLUR:ETH_ARAB]",hate_origin,hate_gender,hate_origin
Masking_HELPED,mosquito deadass piss me off blud if u gonna suck sumn suck my dick at least God dayumm 😤,mosquito deadass piss me off blud if u gonna suck sumn suck my [SLUR:GENDER_MEN] at least God dayumm 😤,hate_gender,hate_religion,hate_gender
Masking_HELPED,@user Especially if you're a whore and hanging out with losers with diseases and acting like it's no big deal 🙈😒,[MENTION] Especially if you're a [SLUR:GENDER_WOMEN] and hanging out with losers with diseases and acting like it's no big deal 🙈😒,hate_gender,hate_origin,hate_gender
Masking_HELPED,"To the ""Things"" with vaginas in the world, I don't care anymore whether or not you get an abortion ,dig the fuck in!! I won't have to answer to anybody about your decision,, BUT,, just don't expect me to use my tax dollars for it… You pay for the shit… !! Buy your own mess!","To the [TARGET:GENDER_WOMEN] with vaginas in the world, I don't care anymore whether or not you get an abortion, dig the fuck in!! I won't have to answer to anybody about your decision, BUT, just don't expect me to use my tax dollars for it… You pay for the shit… !! Buy your own mess!",hate_gender,hate_origin,hate_gender
Masking_HELPED,@RepAdamSchiff And Sir so are the Palestinian supporters on your side ready to blow Israel off the map with your super star Omar lighting the match! Give me a break! By the way they are invaders instead of using AK47's they use BABIES! REally deserve to be Americans?,[MENTION] And Sir so are the [TARGET:NATIONAL_ORIGIN_IMMIGRANTS] supporters on your side ready to blow [TARGET:NATIONAL_ORIGIN_OTHER] off the map with your super star [TARGET:GENDER_WOMEN] lighting the match! Give me a break! By the way they are [SLUR:NATIONAL_ORIGIN_OTHER] instead of using AK47's they use [SLUR:NATIONAL_ORIGIN_OTHER]! REally deserve to be Americans?,hate_origin,hate_religion,hate_origin
Masking_HELPED,Awwww is your cock twitching? Did I give you an awkward boner at the breakfast table?! 👀 #mistress #orgasmcontrol #chastity #dominatrix #findomme #cuckold #cuck {URL},Awwww is your [SLUR:GENDER_MEN] twitching? Did I give you an awkward [SLUR:GENDER_MEN] at the breakfast table?! 👀 [HASHTAG:mistress] [HASHTAG:orgasmcontrol] [HASHTAG:chastity] [HASHTAG:dominatrix] [HASHTAG:findomme] [HASHTAG:cuckold] [HASHTAG:cuck] [URL],hate_gender,hate_sexuality,hate_gender
Masking_HURT,It feels like muslims are trying to infiltrate and take over the Western Civilization that Europeans built... Kind of like vermin infesting a house they NEVER could have built.,It feels like [TARGET:ETH_ISLAM] are trying to infiltrate and take over the Western Civilization that [TARGET:RACE_WHITE] built... Kind of like [SLUR:ETH_OTHER] infesting a house they NEVER could have built.,hate_religion,hate_religion,hate_origin
Masking_HURT,@user @farhanmohamed @JustinTrudeau I live in Canada u fucking retard..... and here's an idea why don't you go home and fight your own people if u wanna be a Canadian,[MENTION] [MENTION] [MENTION] I live in Canada u [SLUR:DISABILITY_OTHER]..... and here's an idea why don't you go home and fight your own people if u wanna be a Canadian,hate_origin,hate_origin,hate_disability
Masking_HURT,Ilhan Omar leave the USA AND go back to hell from whence you came. Take SARSOUR with you. You are both anti-American bitches who hate this nation and we want you to leave. You're both hypocritical liars who hate this nation and support terrorism.,[SLUR:GENDER_WOMEN] leave the USA AND go back to hell from whence you came. Take [MENTION] with you. You are both [SLUR:GENDER_WOMEN] who hate this nation and we want you to leave. You're both hypocritical liars who hate this nation and support terrorism.,hate_origin,hate_origin,hate_gender
Masking_HURT,Dear @ShireenMazari1 Is your baby w-h-o-r-e sleeping with uncircumcised Indians these days? {URL},"""""""Dear [MENTION] Is your baby [SLUR:GENDER_WOMEN] sleeping with [SLUR:RACE_OTHER] these days? [URL]""""""",hate_origin,hate_origin,hate_gender
Masking_HURT,Muslims Slaughter Escaped Cow - Slit Its Throat in Home Depot Parking Lot/Freaking Savages. What's next!? {URL},[SLUR:ETH_ISLAM] [SLUR:RACE_OTHER] - Slit Its Throat in Home Depot Parking Lot/Freaking [SLUR:RACE_OTHER]. What's next!? [URL],hate_religion,hate_religion,hate_origin
Masking_HURT,I luv watchin nut being gettin ate by these #cuckolds. Especially when the nut is so thick and stringy. #fatdick #thicknigga #thickdick #blackdick #cuck #cuckold #cumeating #cleanup #cumshot {URL},I luv watchin nut being gettin ate by these [HASHTAG:cuckolds]. Especially when the nut is so thick and stringy. [HASHTAG:fatdick] [SLUR:RACE_BLACK] [HASHTAG:thickdick] [SLUR:RACE_BLACK] [HASHTAG:cuck] [HASHTAG:cuckold] [HASHTAG:cumeating] [HASHTAG:cleanup] [HASHTAG:cumshot] [URL],hate_sexuality,hate_sexuality,hate_origin
Masking_HURT,Happening all over the world. Military @ our border is Justified. Or gangs will destroy us {URL},Happening all over the world. Military [MENTION] is Justified. Or gangs will destroy us [URL],hate_origin,hate_origin,hate_religion
Masking_HURT,@user You're going to your God's hell for allowing your priests to molest children. Shut your fucking mouth you fucking garbage human.,[MENTION] You're going to your God's hell for allowing your priests to molest children. Shut your [SLUR:GENDER_OTHER] mouth you [SLUR:GENDER_OTHER] garbage human.,hate_religion,hate_religion,hate_gender
Masking_HURT,I wish a nigga would put his hands on me 😭 imma beat that bitch like his mama should've.,I wish a [SLUR:RACE_BLACK] would put his hands on me 😭 imma beat that [SLUR:GENDER_WOMEN] like his mama should've.,hate_origin,hate_origin,hate_gender
Masking_HURT,"yo boyfriend a bitch, he shoulda been a dyke.","yo boyfriend a [SLUR:SEXUAL_ORIENTATION_OTHER], he shoulda been a [SLUR:SEXUAL_ORIENTATION_LESBIAN].",hate_gender,hate_gender,hate_sexuality
Masking_HURT,"Finger it out and feed it to your pathetic, black cock worshipping cuck of a husband {URL}","Finger it out and feed it to your pathetic, [SLUR:RACE_BLACK] cock worshipping cuck of a husband [URL]",hate_gender,hate_gender,hate_origin
Masking_HURT,"Women so fucking retarded. Before you tell me wha I doing wrong or right you gine sit dey pon the bed like a dead star fish then go home and tweet "" tired having lame sex"" yuh mudda girl","[GENDER_WOMEN] so [SLUR:DISABILITY_MENTAL]. Before you tell me wha I doing wrong or right you gine sit dey pon the bed like a dead star fish then go home and tweet "" tired having lame sex"" yuh mudda [GENDER_WOMEN]",hate_gender,hate_gender,hate_disability
